Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Serum thioredoxin and in-hospital major adverse events after traumatic brain injury.,"Dong, Xiao-Qiao; Yu, Wen-Hua; Zhang, Zu-Yong; Yang, Ding-Bo; Du, Quan; Wang, Hao; Shen, Yong-Feng; Jiang, Li; Che, Zhi-Hao; Zhu, Qiang","BACKGROUND: In-hospital major adverse events (IMAEs), mainly including acute lung injury, acute traumatic coagulopathy, progressive hemorrhagic injury and posttraumatic cerebral infarction, are associated with poor prognosis after traumatic brain injury (TBI). Thioredoxin, a potent anti-oxidant, has been identified as an oxidative stress marker. This study was designed to explore the association of serum thioredoxin concentrations with IMAEs of patients with severe TBI., METHODS: This prospective, observational study recruited a total of 108 healthy controls and 108 patients with severe TBI. We investigated the possible relation of serum thioredoxin concentrations to IMAEs and trauma severity (reflected by Glasgow coma scale scores) following TBI using a multivariate analysis., RESULTS: Serum thioredoxin concentrations were higher in the patients than in the controls. Serum concentrations of thioredoxin significantly correlated with admission Glasgow coma scale scores. Thioredoxin in serum independently predicted any IMAEs. As compared to admission Glasgow coma scale scores, thioredoxin concentrations had similar areas under receiver operating characteristic curve for any IMAEs., CONCLUSION: Increased serum thioredoxin concentrations are highly associated with trauma severity and IMAEs, indicating thioredoxin might be a potential prognostic biomarker after TBI. Copyright © 2017 Elsevier B.V. All rights reserved.",2017,/,Clinica chimica acta; international journal of clinical chemistry,469,"dcc, 1302422",75-80,,https://dx.doi.org/10.1016/j.cca.2017.03.024,28347674,#6216,Dong 2017,,yes
Prognostic model for patients with traumatic brain injuries and abnormal computed tomography scans.,"Junior, Jefferson Rosi; Welling, Leonardo C; Schafranski, Marcelo; Yeng, Lin Tchia; do Prado, Rogerio Ruscito; Koterba, Edwin; de Andrade, Almir Ferreira; Teixeira, Manoel Jacobsen; Figueiredo, Eberval Gadelha","Traumatic brain injury (TBI) is an important cause of death and disability worldwide. The prognosis evaluation is a challenge when many variables are involved. The authors aimed to develop prognostic model for assessment of survival chances after TBI based on admission characteristics, including extracranial injuries, which would allow application of the model before in-hospital therapeutic interventions. A cohort study evaluated 1275 patients with TBI and abnormal CT scans upon admission to the emergency unit of Hospital das Clinicas of University of Sao Paulo and analyzed the final outcome on mortality. A logistic regression analysis was undertaken to determine the adjusted weigh of each independent variable in the outcome. Four variables were found to be significant in the model: age (years), Glasgow Coma Scale (3-15), Marshall Scale (MS, stratified into 2,3 or 4,5,6; according to the best group positive predictive value) and anysochoria (yes/no). The following formula is in a logistic model (USP index to head injury) estimates the probability of death of patients according to characteristics that influence on mortality. We consider that our mathematical probability model (USP Index) may be applied to clinical prognosis in patients with abnormal CT scans after severe traumatic brain injury. Copyright © 2017 Elsevier Ltd. All rights reserved.",2017,/,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,42,"dpi, 9433352",122-128,,https://dx.doi.org/10.1016/j.jocn.2017.03.012,28347684,#6215,Junior 2017,,yes
Serum macrophage migration inhibitory factor concentrations correlate with prognosis of traumatic brain injury.,"Yang, Ding-Bo; Yu, Wen-Hua; Dong, Xiao-Qiao; Zhang, Zu-Yong; Du, Quan; Zhu, Qiang; Che, Zhi-Hao; Wang, Hao; Shen, Yong-Feng; Jiang, Li","BACKGROUND: Macrophage migration inhibitory factor (MIF) is a well-known pro-inflammatory cytokine. Serum MIF concentrations are associated with the severity and prognosis of ischemic stroke., METHODS: In this prospective, observational study, white blood cell (WBC) count and serum concentrations of C-reactive protein (CRP), interleukin-6 (IL-6), tumor necrosis factor-alpha (TNF-alpha) and MIF among 108 severe traumatic brain injury (TBI) patients and 108 controls were measured. We determined whether serum MIF concentrations are associated with inflammation, severity, in-hospital major adverse events (IMAEs) (i.e., in-hospital mortality, acute lung injury, acute traumatic coagulopathy, progressive hemorrhagic injury and posttraumatic cerebral infarction) and long-term clinical outcome (i.e., 6-month functional outcome) after TBI., RESULTS: As compared to the controls, serum CRP, IL-6, TNF-alpha and MIF concentrations were significantly increased. MIF concentrations correlated with WBC count, CRP, IL-6 and TNF-alpha concentrations and Glasgow coma scale (GCS) scores. MIF in serum was independently associated with IMAEs and long-term clinical outcome. Area under receiver operating characteristic curve of MIF concentrations was similar to GCS scores'. Moreover, MIF concentrations markedly improved the predictive value of GCS scores for 6-month unfavorable outcome., CONCLUSION: Increased serum MIF concentrations have close relation to inflammation, trauma severity and clinical outcomes, substantializing MIF as a good prognostic biomarker after TBI. Copyright © 2017 Elsevier B.V. All rights reserved.",2017,/,Clinica chimica acta; international journal of clinical chemistry,469,"dcc, 1302422",99-104,,https://dx.doi.org/10.1016/j.cca.2017.03.030,28366792,#6205,Yang 2017,,yes
A prospective outcome study observing patients with severe traumatic brain injury over 10-15 years.,"Andersson, E; Rackauskaite, D; Svanborg, E; Csajbok, L; Ost, M; Nellgard, B","BACKGROUND: Severe traumatic brain injury (sTBI) can be divided into primary and secondary injuries. Intensive care protocols focus on preventing secondary injuries. This prospective cohort study was initiated to investigate outcome, including mortality, in patients treated according to the Lund Concept after a sTBI covering 10-15 years post-trauma., METHODS: Patients were included during 2000-2004 when admitted to the neurointensive care unit, Sahlgrenska University Hospital. Inclusion criteria were: Glasgow coma scale score of <=8, need for artificial ventilation and intracranial monitoring. Glasgow Outcome Scale (GOS) was used to evaluate outcome both at 1-year and 10-15 years post-trauma., RESULTS: Ninety-five patients, (27 female and 68 male), were initially included. Both improvement and deterioration were noted between 1- and 10-15 years post-injury. Mortality rate (34/95) was higher in the studied population vs. a matched Swedish population, (Standard mortality rate (SMR) 9.5; P < 0.0001). When dividing the cohort into Good (GOS 4-5) and Poor (GOS 2-3) outcome at 1-year, only patients with Poor outcome had a higher mortality rate than the matched population (SMR 7.3; P < 0.0001). Further, good outcome (high GOS) at 1-year was associated with high GOS 10-15 years post-trauma (P < 0.0001). Finally, a majority of patients demonstrated symptoms of mental fatigue., CONCLUSION: This indicates that patients with severe traumatic brain injury with Good outcome at 1-year have similar survival probability as a matched Swedish population and that high Glasgow outcome scale at 1-year is related to good long-term outcome. Our results further emphasise the advantage of the Lund concept. Copyright © 2017 The Acta Anaesthesiologica Scandinavica Foundation. Published by John Wiley & Sons Ltd.",2017,/,Acta anaesthesiologica Scandinavica,61,5,502-512,,https://dx.doi.org/10.1111/aas.12880,28374472,#6201,Andersson 2017,,yes
Prognostic value of total antioxidant capacity to predict functional outcome in traumatic brain injury patients.,"Rodriguez-Rodriguez, Ana; Egea-Guerrero, Juan Jose; Vilches-Arenas, Angel; Gordillo-Escobar, Elena; Ruiz de Azua-Lopez, Zaida; Murillo-Cabezas, Francisco",,2017,/,Clinical chemistry and laboratory medicine,55,11,e265-e267,,https://dx.doi.org/10.1515/cclm-2017-0022,28412718,#6195,Rodriguez-Rodriguez 2017,,yes
Hyponatremia on Initial Presentation Correlates with Suboptimal Outcomes after Traumatic Brain Injury.,"Smith, Michael; Baltazar, Gerard A; Pate, Amy; Akella, Krishna; Chendrasekhar, Akella",,2017,/,The American surgeon,83,4,e126-128,,,28424116,#6188,Smith 2017,,yes
Is It Reliable to Predict the Outcome of Elderly Patients with Severe Traumatic Brain Injury Using the IMPACT Prognostic Calculator?.,"Wan, Xueyan; Zhao, Kai; Wang, Sheng; Zhang, Huaqiu; Zeng, Liang; Wang, Yu; Han, Lin; Beejadhursing, Rajluxmee; Shu, Kai; Lei, Ting","BACKGROUND: Many investigators endeavor to predict the outcome based on admission characteristics using some established models to determine which management should be applied. However, the efficacy and applicability of the models using in the geriatric patients with severe traumatic brain injury (TBI) have not yet been evaluated., METHODS: A total of 137 geriatric severe TBI patients were enrolled in this retrospective study. Receiver operating characteristic (ROC) curves were constructed to evaluate the efficacy and usability of the International Mission for Prognosis and Analysis of Clinical Trials in TBI (IMPACT) prognostic model in evaluating the prognosis for these patients., RESULTS: The observed mortality and unfavorable outcomes at 6 months in patients with severe TBI were 54.7% and 70.8%, respectively, slightly lower than the predicted outcomes using the IMPACT model. ROC curve analysis showed areas under the curve (AUCs) for mortality of 0.76 and for unfavorable outcome of 0.80 in the Core model, of 0.76 and 0.79, respectively, in the Extended model, and of 0.73 and 0.77, respectively, in the Lab model. When expected risk of fatal outcome was >90% in any model, the true positive rate was 100%. Moreover, when the predicted risk for unfavorable outcomes was >70% in any model, the actual rate of unfavorable outcomes was >80%., CONCLUSIONS: The IMPACT prognosis calculator showed just fair discrimination when predicting the outcome of the elderly patients with severe TBI. Management decisions should be made on a case-by-case basis rather than by relying on the predicted risks identified by this model; conservative treatment might be preferable when expected risk of fatal outcome is >90%. Copyright © 2017 Elsevier Inc. All rights reserved.",2017,/,World neurosurgery,103,101528275,584-590,,https://dx.doi.org/10.1016/j.wneu.2017.04.069,28433847,#6186,Wan 2017,,yes
[Predictors of the recovery of cognitive functions in patients with traumatic brain injury].,"Solis-Marcos, I; Castellano-Guerrero, A M; Dominguez-Morales, R; Leon-Carrion, J","INTRODUCTION: After a traumatic brain injury (TBI), cognitive functionality may be severely altered. Some studies have aimed at identifying the best predictive variables for cognitive recovery, however, results still remain unclear., AIMS: To assess the recovery of cognitive functionality in TBI patients after a rehabilitation programme, and to identify the variables that best predict the cognitive recovery., PATIENTS AND METHODS: We conducted a retrospective pre-post study with 58 adult TBI patients that underwent an intensive rehabilitation programme. All of them were assessed using the cognitive functions sub-scale from the FIM+FAM scale, at admission and discharge. Both scores were compared using non-parametric test Wilcoxon. Cognitive functionality gain percentage was calculated and correlated with all the collected data. A multiple linear regression analysis was carried out to identify the best predictors of cognitive functionality gain percentage by introducing all clinical, demographic and cognitive information., RESULTS: The group's cognitive functionality increased significantly from 33,6% to 85% (p < 0,01). Patients with higher cognitive functionality gain percentage were those with younger age, shorter time post-TBI, and higher scores on cognitive functions sub-scale, conditional attention and Luria's memory word tests. The best predictors for cognitive functionality gain percentage were time post-TBI and cognitive functions at admission (adjusted R(2) = 55,8%)., CONCLUSIONS: Patients who started rehabilitation sooner and had a higher cognitive functionality at admission, showed the greatest increase in cognitive functionality gain percentage. Other variables like age, or scores on cognitive tests must also be considered in future studies.",2014,/,Revista de neurologia,58,7,296-302,,,24677152,#7785,Solis-Marcos 2014,,yes
Early CT findings to predict early death in patients with traumatic brain injury: Marshall and Rotterdam CT scoring systems compared in the major academic tertiary care hospital in northeastern Japan.,"Mata-Mbemba, Daddy; Mugikura, Shunji; Nakagawa, Atsuhiro; Murata, Takaki; Ishii, Kiyoshi; Li, Li; Takase, Kei; Kushimoto, Shigeki; Takahashi, Shoki","RATIONALE AND OBJECTIVES: Computed tomography (CT) plays a crucial role in early assessment of patients with traumatic brain injury (TBI). Marshall and Rotterdam are the mostly used scoring systems, in which CT findings are grouped differently. We sought to determine the scoring system and initial CT findings predicting the death at hospital discharge (early death) in patients with TBI., MATERIALS AND METHODS: We included 245 consecutive adult patients with mild-to-severe TBI. Their initial CT and status at hospital discharge (dead or alive) were reviewed, and both CT scores were calculated. We examined whether each score was related to early death; compared the two scoring systems' performance in predicting early death, and identified the CT findings that are independent predictors of early death., RESULTS: More deaths occurred among patients with higher Marshall and Rotterdam scores (both P < .05, Mann-Whitney U test). The areas under the receiver operating characteristic curve (AUCs) indicated that both scoring systems had similarly good discriminative power in predicting early death (Marshall, AUC = 0. 85 vs. Rotterdam, AUC = 0.85). Basal cistern absence (odds ratio [OR] = 771.5, P < .0001), positive midline shift (OR = 56.2, P = .0011), hemorrhagic mass volume >=25 mL (OR = 12.9, P = .0065), and intraventricular or subarachnoid hemorrhage (OR = 3.8, P = .0395) were independent predictors of early death., CONCLUSIONS: Both Marshall and Rotterdam scoring systems can be used to predict early death in patients with TBI. The performance of the Marshall score is at least equal to that of the Rotterdam score. Thus, although older, the Marshall score remains useful in predicting patients' prognosis. Copyright © 2014 AUR. Published by Elsevier Inc. All rights reserved.",2014,/,Academic radiology,21,5,605-11,,https://dx.doi.org/10.1016/j.acra.2014.01.017,24703472,#7776,Mata-Mbemba 2014,,yes
Predicting six-month mortality of patients with traumatic brain injury: usefulness of common intensive care severity scores.,"Raj, Rahul; Skrifvars, Markus; Bendel, Stepani; Selander, Tuomas; Kivisaari, Riku; Siironen, Jari; Reinikainen, Matti","INTRODUCTION: The aim of this study was to evaluate the usefulness of the APACHE II (Acute Physiology and Chronic Health Evaluation II), SAPS II (Simplified Acute Physiology Score II) and SOFA (Sequential Organ Failure Assessment) scores compared to simpler models based on age and Glasgow Coma Scale (GCS) in predicting long-term outcome of patients with moderate-to-severe traumatic brain injury (TBI) treated in the intensive care unit (ICU)., METHODS: A national ICU database was screened for eligible TBI patients (age over 15 years, GCS 3-13) admitted in 2003-2012. Logistic regression was used for customization of APACHE II, SAPS II and SOFA score-based models for six-month mortality prediction. These models were compared to an adjusted SOFA-based model (including age) and a reference model (age and GCS). Internal validation was performed by a randomized split-sample technique. Prognostic performance was determined by assessing discrimination, calibration and precision., RESULTS: In total, 1,625 patients were included. The overall six-month mortality was 33%. The APACHE II and SAPS II-based models showed good discrimination (area under the curve (AUC) 0.79, 95% confidence interval (CI) 0.75 to 0.82; and 0.80, 95% CI 0.77 to 0.83, respectively), calibration (P > 0.05) and precision (Brier score 0.166 to 0.167). The SOFA-based model showed poor discrimination (AUC 0.68, 95% CI 0.64 to 0.72) and precision (Brier score 0.201) but good calibration (P > 0.05). The AUC of the SOFA-based model was significantly improved after the insertion of age and GCS (AUC +0.11, P < 0.001). The performance of the reference model was comparable to the APACHE II and SAPS II in terms of discrimination (AUC 0.77; compared to APACHE II, DELTAAUC -0.02, P = 0.425; compared to SAPS II, DELTAAUC -0.03, P = 0.218), calibration (P > 0.05) and precision (Brier score 0.181)., CONCLUSIONS: A simple prognostic model, based only on age and GCS, displayed a fairly good prognostic performance in predicting six-month mortality of ICU-treated patients with TBI. The use of the more complex scoring systems APACHE II, SAPS II and SOFA added little to the prognostic performance.",2014,/,"Critical care (London, England)",18,2,R60,,https://dx.doi.org/10.1186/cc13814,24708781,#7773,Raj 2014,,yes
