Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Prognostic influence and magnetic resonance imaging findings in paroxysmal sympathetic hyperactivity after severe traumatic brain injury.,"Lv, Li-Quan; Hou, Li-Jun; Yu, Ming-Kun; Qi, Xiang-Qian; Chen, Huai-Rui; Chen, Ju-Xiang; Hu, Guo-Han; Luo, Chun; Lu, Yi-Cheng","Paroxysmal sympathetic hyperactivity (PSH) is a clinical syndrome affecting a subgroup of survivors of severe brain injury. In this study, the prevalence, magnetic resonance imaging (MRI) presentation, influence on the clinical course in the intensive care unit (ICU), and effect on neurological recovery of PSH were prospectively surveyed in 87 patients with severe traumatic brain injury (TBI). Cranial MRI was performed during the first 30 days after injury. The outcome was assessed according to the Glasgow Outcome Scale (GOS). PSH occurred in 18.4% of patients, with a greater incidence among younger patients and those with lower Glasgow Coma Scale (GCS) scores. Patients with PSH had more deep lesions as shown on cranial MRI, significantly longer ICU stays, and worse outcomes. PSH was shown to be common among patients with severe TBI who also had deep intraparenchymal lesions. The mechanism by which PSH influences patient outcomes has yet to be defined, but we believe that it may be mediated by diencephalic-mesencephalic dysfunction or disconnection.",2010,/,Journal of neurotrauma,27,11,1945-50,,https://dx.doi.org/10.1089/neu.2010.1391,21028988,#9498,Lv 2010,,maybe
Utility of diffusion tensor imaging in the acute stage of mild to moderate traumatic brain injury for detecting white matter lesions and predicting long-term cognitive function in adults.,"Matsushita, Makoto; Hosoda, Kohkichi; Naitoh, Yasuo; Yamashita, Haruo; Kohmura, Eiji","OBJECT: Traumatic brain injury (TBI) often impairs cognitive function. Diffusion tensor (DT) imaging, a novel modality, permits evaluation of the effects of head trauma on white matter nerve fibers. The objectives of the current study were to investigate where the white matter injury following mild to moderate TBI is specifically located on DT imaging in the acute disease stage and to examine the relationship between the severity of the white matter lesion on DT imaging in the acute stage of TBI and future cognitive function in the chronic disease stage., METHODS: Twenty adult patients with mild to moderate TBI (Glasgow Coma Scale score between 9 and 15) underwent conventional MR and DT imaging a median of 3.5 days after injury, and 27 matched healthy controls also underwent both imaging modalities. The patients with TBI were further subdivided into 2 groups, that is, mild and more severe TBI groups, based on clinical (mild or moderate TBI), CT (diffuse brain injury [DBI] I or II), or MR imaging (normal or pathological appearance) classification. Fractional anisotropies (FAs) were compared between patients and controls using the region of interest method. Regions of interest were located in 8 different areas including the genu, stem, and splenium of the corpus callosum and the corona radiata (CR), anterior limb of the internal capsule (ALIC), posterior limb of the internal capsule (PLIC), frontal white matter (FWM), and occipital white matter (OWM) of the periventricular white matter. Eleven patients with TBI also underwent neuropsychological testing, which included the Trail Making Test, Wisconsin Card Sorting Test, Wechsler Adult Intelligence Scale-Revised, and P300 testing in the chronic disease stage (median 364 days)., RESULTS: Region of interest analysis demonstrated significantly lower FA values in the genu, stem, and splenium of the corpus callosum in more severe TBI groups (moderate TBI on clinical classification, DBI II on CT classification, and pathological appearance on MR imaging classification) than in controls. A significant difference was also observed in the FA of the splenium between controls and the mild TBI group of the clinical classification. No significant difference was observed in the FA of the CR, ALIC, PLIC, FWM, and OWM between controls and any of the TBI groups of clinical or imaging classifications. No significant difference was observed in the FA of any regions between mild and more severe TBI groups of the clinical or imaging classifications. Multiple regression analysis showed a statistically significant positive linear relationship between FA in the splenium and total IQ (r = 0.79, p = 0.004). A significant negative linear relationship between FA in the FWM and P300 latency was also observed (r = 0.62, p = 0.04)., CONCLUSIONS: Fractional anisotropy reductions in the splenium and FWM in the acute stage of mild to moderate TBI may be a useful prognostic factor for long-term cognitive dysfunction.",2011,/,Journal of neurosurgery,115,1,130-9,,https://dx.doi.org/10.3171/2011.2.JNS101547,21417709,#9295,Matsushita 2011,,maybe
Bimanual coordination and corpus callosum microstructure in young adults with traumatic brain injury: a diffusion tensor imaging study.,"Caeyenberghs, Karen; Leemans, Alexander; Coxon, James; Leunissen, Inge; Drijkoningen, David; Geurts, Monique; Gooijers, Jolien; Michiels, Karla; Sunaert, Stefan; Swinnen, Stephan P","Bimanual actions are ubiquitous in daily life. Many coordinated movements of the upper extremities rely on precise timing, which requires efficient interhemispheric communication via the corpus callosum (CC). As the CC in particular is known to be vulnerable to traumatic brain injury (TBI), furthering our understanding of its structure-function association is highly valuable for TBI diagnostics and prognosis. In this study, 21 young adults with TBI and 17 controls performed object manipulation tasks (insertion of pegs with both hands and bilateral daily life activities) and cognitive control tasks (i.e., switching maneuvers during spatially and temporally coupled bimanual circular motions). The structural organization of 7 specific subregions of the CC (prefrontal, premotor/supplementary motor, primary motor, primary sensory, parietal, temporal, and occipital) was subsequently investigated in these subjects with diffusion tensor imaging (DTI). Findings revealed that bimanual coordination was impaired in TBI patients as shown by elevated movement time values during daily life activities, a decreased number of peg insertions, and slower response times during the switching task. Furthermore, the DTI analysis demonstrated a significantly decreased fractional anisotropy and increased radial diffusivity in prefrontal, primary sensory, and parietal regions in TBI patients versus controls. Finally, multiple regression analyses showed evidence of the high specificity of callosal subregions accounting for the variance associated with performance of the different bimanual coordination tasks. Whereas disruption in commissural pathways between occipital areas played a role in performance on the clinical tests of bimanual coordination, deficits in the switching task were related to disrupted interhemispheric communication in prefrontal, sensory, and parietal regions. This study provides evidence that structural alterations of several subregional callosal fibers in adults with TBI are associated with differential behavioral manifestations of bimanual motor functioning.",2011,/,Journal of neurotrauma,28,6,897-913,,https://dx.doi.org/10.1089/neu.2010.1721,21501046,#9258,Caeyenberghs 2011,,maybe
Religion and spirituality in rehabilitation outcomes among individuals with traumatic brain injury.,"Waldron-Perrine, Brigid; Rapport, Lisa J; Hanks, Robin A; Lumley, Mark; Meachen, Sarah-Jane; Hubbarth, Paul","OBJECTIVE: The long-term consequences of traumatic brain injury affect millions of Americans, many of whom report using religion and spirituality to cope. Little research, however, has investigated how various elements of the religious and spiritual belief systems affect rehabilitation outcomes. The present study sought to assess the use of specifically defined elements of religion and spirituality as psychosocial resources in a sample of traumatically brain injured adults., PARTICIPANTS: The sample included 88 adults with brain injury from 1 to 20 years post injury and their knowledgeable significant others (SOs). The majority of the participants with brain injury were male (76%), African American (75%) and Christian (76%)., MEASURES: Participants subjectively reported on their religious/spiritual beliefs and psychosocial resources as well as their current physical and psychological status. Significant others reported objective rehabilitation outcomes., ANALYSES: Hierarchical multiple regression analyses were used to determine the proportion of variance in outcomes accounted for by demographic, injury related, psychosocial and religious/spiritual variables., RESULTS: The results indicate that religious well-being (a sense of connection to a higher power) was a unique predictor for life satisfaction, distress and functional ability whereas public religious practice and existential well-being were not., CONCLUSIONS: The findings of this project indicate that specific facets of religious and spiritual belief systems do play direct and unique roles in predicting rehabilitation outcomes whereas religious activity does not. Notably, a self-reported individual connection to a higher power was an extremely robust predictor of both subjective and objective outcome.",2011,/,Rehabilitation psychology,56,2,107-16,,https://dx.doi.org/10.1037/a0023552,21574729,#9237,Waldron-Perrine 2011,,maybe
The association between apolipoprotein E and traumatic brain injury severity and functional outcome in a rehabilitation sample.,"Ponsford, Jennie; McLaren, Anna; Schonberger, Michael; Burke, Richard; Rudzki, Dion; Olver, John; Ponsford, Michael","Traumatic brain injury (TBI) can result in significant disability, but outcome is variable. The impact of known predictors accounts for a limited proportion of the variance in outcomes. Apolipoprotein E (ApoE) genotype has been investigated as an additional source of variability in injury severity and outcome, with mixed findings reflecting variable methodology and generally limited sample sizes. This study aimed to examine whether possession of the ApoE e4 allele was associated with greater acute injury severity and poorer long-term outcome in patients referred for rehabilitation following TBI. ApoE genotype was determined for 648 patients with TBI, who were prospectively followed up a mean of 1.9 years post-injury. Hypotheses that e4 carriers would have lower Glasgow Coma Scale (GCS) scores and longer post-traumatic amnesia (PTA) duration were not supported. Prediction of worse Glasgow Outcome Scale-Extended (GOSE) scores for e4 carriers was supported with greater susceptibility seen in females. These results indicate the ApoE e4 allele may be associated with poorer long-term outcome, but not acute injury severity. Possible mechanisms include differential effects of the e4 allele on inflammatory and cellular repair processes, and/or amyloid deposition.",2011,/,Journal of neurotrauma,28,9,1683-92,,https://dx.doi.org/10.1089/neu.2010.1623,21651315,#9204,Ponsford 2011,,maybe
Suicidal ideation following traumatic brain injury: prevalence rates and correlates in adults living in the community.,"Tsaousides, Theodore; Cantor, Joshua B; Gordon, Wayne A","OBJECTIVE: To explore the rates of suicidal ideation (SI) in a sample of community-dwelling adults with traumatic brain injury (TBI) and to assess the relationship between SI and demographic and injury characteristics, pre- and postinjury psychiatric history, and psychosocial functioning., PARTICIPANTS: Data were collected from a cohort study focused on health, psychosocial functioning, and community integration post-TBI (N = 356). Participants were individuals with mild to severe TBI living in the community., MEASURES: The Beck Depression Inventory II (BDI-II) was used to assess SI. Psychiatric functioning was assessed using the Structured Clinical Interview for Diagnostic and Statistical Manual of Mental Disorders (Fourth Edition) (DSM-IV) Axis I disorders (SCID-I), and psychosocial functioning was assessed using the Life-3, the Flanagan Scale of Unmet Needs, and the Bigelow Quality of Life Questionnaire., RESULTS: There were no differences in SI endorsement based on gender, age, race, income, education, injury severity, or length of time since injury. Those who met current criteria for a psychiatric diagnosis of depression, anxiety, or posttraumatic stress disorder reported SI more frequently. Those with SI reported significantly lower psychosocial functioning., CONCLUSION: Individuals with TBI from all demographic groups and with injuries of varying severity are at risk for SI and thus for emotional distress and suicidal behavior. Screening for SI is indicated in all individuals with TBI, particularly those with a history of premorbid substance misuse and concurrent mood and anxiety disorders. The importance of interventions to maximize social support and reduce social isolation is discussed.",2011,/,The Journal of head trauma rehabilitation,26,4,265-75,,https://dx.doi.org/10.1097/HTR.0b013e3182225271,21734510,#9182,Tsaousides 2011,,maybe
Premorbid statin use is associated with improved survival and functional outcomes in older head-injured individuals.,"Schneider, Eric B; Efron, David T; MacKenzie, Ellen J; Rivara, Frederick P; Nathens, Avery B; Jurkovich, Gregory J","OBJECTIVE: To determine whether preinjury statin use is associated with survival and functional recovery in older adult victims of moderate/severe head trauma., METHODS: Using the National Study of Costs and Outcomes of Trauma dataset compiled from 69 US hospitals, the effect of preinjury statin use was assessed for in-hospital mortality and functional outcome in patients aged >=65 with head injury Abbreviated Injury Score (AIS)>=3. Individuals dying within 24 hours of admission or presenting with fixed dilated pupils were excluded. The Extended Glasgow Outcome Scale, dichotomized at the ability to return to premorbid major activity, was used to measure functional outcome. Multivariate regression modeled statin use and outcomes controlling for demographic, comorbidity, and injury characteristics., RESULTS: Of 523 eligible individuals, 117 (22%) used statins at the time of injury. Statin use was associated with a 76% lower adjusted risk of in-hospital death (relative risk [RR]=0.24; 95% confidence interval [CI], 0.08-0.69). Of 395 individuals discharged alive, 303 survived 1 year and 264 had complete Extended Glasgow Outcome Scale scores. Statin users and nonusers demonstrated similar risk of good recovery at 3 months (RR=0.83; 95% CI, 0.46-1.49). At 12 months postinjury, statin users had 13% higher likelihood of good recovery (RR=1.13; 95% CI, 1.01-1.26). The presence of cardiovascular comorbidities abrogated this effect., CONCLUSION: Preinjury statin use in older adult traumatic brain injury victims is associated with reduced risk of death and improved functional recovery at 12 months postinjury. Individuals with cardiovascular comorbidities lose this benefit of premorbid statin use. Statins, as possible protective agents in head trauma, warrant further study.",2011,/,The Journal of trauma,71,4,815-9,,https://dx.doi.org/10.1097/TA.0b013e3182319de5,21986733,#9102,Schneider 2011,,maybe
Clock-drawing performance predicts inpatient rehabilitation outcomes after traumatic brain injury.,"Wagner, Peter J; Wortzel, Hal S; Frey, Kimberly L; Anderson, C Alan; Arciniegas, David B","The authors used clock-drawing performance to assess cognition and predict inpatient rehabilitation outcomes among persons with traumatic brain injury. Clock-drawing performance, as assessed with the Clock Drawing Interpretation Scale, predicts rehabilitation length of stay as well as Functional Independence Measure scores at the time of neurobehavioral assessment and rehabilitation discharge.",2011,/,The Journal of neuropsychiatry and clinical neurosciences,23,4,449-53,,https://dx.doi.org/10.1176/jnp.23.4.jnp449,22231317,#9053,Wagner 2011,,maybe
Late mortality after severe traumatic brain injury in New South Wales: a multicentre study.,"Baguley, Ian J; Nott, Melissa T; Howle, Alison A; Simpson, Grahame K; Browne, Stuart; King, A Clayton; Cotter, Rachel E; Hodgkinson, Adeline","OBJECTIVES: To determine the long-term mortality pattern of adults with severe traumatic brain injury (TBI), and to identify the risk factors associated with death in this group., DESIGN, PATIENTS AND SETTING: Inception cohort study of 2545 adults consecutively discharged from one of three metropolitan tertiary, post-acute inpatient rehabilitation services of the New South Wales Brain Injury Rehabilitation Program from 1 January 1990 to 1 October 2007 after inpatient rehabilitation for primary TBI., MAIN OUTCOME MEASURE: Survival status at 1 October 2009., RESULTS: 258 deaths were recorded in this sample, yielding a standardised mortality ratio of 3.19 (95% CI, 2.80-3.60). Risk of death remained elevated above societal norms for at least 8 years after discharge from rehabilitation. Mortality risk was increased by: functional dependence at discharge; age at injury; pre-injury drug and alcohol misuse; pre-injury epilepsy; and discharge to an aged care facility. The risk of death from external causes, and respiratory system and nervous system disorders was six to seven times higher, and the risk of death from disorders of the digestive system, and mental and behavioural disorders was five times higher in adults with severe TBI than in the general population., CONCLUSIONS: People who survive to discharge from inpatient rehabilitation following a severe TBI were found to have a sustained increase in risk of death for eight years post discharge. Various demographic and injury-related variables selectively increase mortality risk and may be modifiable in order to reduce the observed increase in mortality.",2012,/,The Medical journal of Australia,196,1,May-40,,,22256933,#8925,Baguley 2012,,maybe
Long-term functional outcome of older adults after a traumatic brain injury.,"Lecours, Alexandra; Sirois, Marie-Josee; Ouellet, Marie-Christine; Boivin, Karine; Simard, Jean-Francois","PURPOSE: To identify factors associated with long-term independence in mobility and self-care activities of daily living of older adults after traumatic brain injury (TBI)., PARTICIPANTS: One hundred thirty-six TBI survivors 55 years or older were assessed 2 to 4 years postinjury (mean of 3.2 years)., SETTING: Level I or level II trauma centers in Quebec, Canada., MAIN MEASURES: Personal, injury-related, and environmental factors were gathered from hospital records or by telephone interview; a telephone version of the Functional Independence Measure motor scale was collapsed to 4 levels., ANALYSIS: Logistic regression analyses identified factors associated with independence in mobility and self-care., RESULTS: The strongest and most consistent factors associated with independence in mobility and self-care were fewer comorbid conditions, no difficulty of access to home modification services and home support services, male gender, younger age at time of injury, and shorter acute care length of stay., CONCLUSION: Factors associated with long-term functional outcome should be considered in the development of practice guidelines for rehabilitation of older adults who sustained a TBI.",2012,/,The Journal of head trauma rehabilitation,27,6,379-90,,https://dx.doi.org/10.1097/HTR.0b013e31823b2385,22333676,#8893,Lecours 2012,,maybe
