Covidence #,Study ID,Title,Reviewer Name,Include?,Primary study aim,Country in which the study was conducted,Study design,Data source,Database/Randomized controlled trial name (if applicable),Clinical setting of data collection,Start date for collection of patient data (YYYY),End date for collection of patient data (YYYY),Age criteria for inclusion (in years),"How is TBI defined? (e.g., ""ICD9 codes"", ""Not defined"")",Range of TBI severity in patient population,"Factors used to define TBI severity, separated by commas (e.g., ""GCS"", ""GCS, AIS"")",Specific inclusion criteria,Specific exclusion criteria,Number of participants included in prognostication analysis,Average age of participants (in years),"Male/female ratio (""M"" if all male, ""F"" if all female)",Prognostic factors and outcomes analyses,Types of models involved for prognostication analysis,Additional notes on core information,Additional notes
24718,Dhandapani 2009,Prognostic value of admission serum albumin levels in patients with head injury,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
24694,Amin 2009,BCL-2 and cytochrome c as prognostic markers of TBI outcome,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
24693,Franschman 2009,Prehospital endotracheal intubation does not associate with outcome in patients with severe traumatic brain injury,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
24680,Monje 2009,Prognosis factors related to a better outcome in moderate and severe traumatic brain injury,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
24526,Sawamoto 2010,Prolonged arterial lactate elevation predicts a poor neurological outcome in patients with severe traumatic brain injury,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
24245,Wong 2011,Neurological outcome in patients with traumatic brain injury and its relationship with computed tomography patterns of traumatic subarachnoid hemorrhage: Clinical article,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
23707,Prieto-Palomino 2013,Relation between mortality in the hospital and at 1 year with the cranial ct evaluated using the marshall classification classification classification classification classification in patients with traumatic brain injury,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
23526,Ghonemi 2013,Role of Phosphorylated Neurofilament H as a diagnostic and prognostic marker in traumatic brain injury,Steven Qiu,Yes,Analysis of prognostic factors,Other: Egypt,Cohort study,Prospective data collection,"",Hospital admission,2010,2011,18-65,"Defined by Head Injury Interdisciplinary Special interest group of the American Congress of Rehabilitation Medicine (at least one of the following: any period of loss of consciousness, any loss of memory for events immediately before or after the trauma, any alteration in mental state at the time of the accident focal neurologic deficits which may or may not be transient, and abnormal CT scan findings)","","",Isolated TBI,"Chronic neurological diseases, seizure activity, renal impairment, multi-organ failure syndrome, or multiple trauma
Receiving or candidates for thrombolytic therapy",30,36.5,1.31,"pNF-H (admission) | Rankin score (3 months post-injury) | Y | Pearson
pNF-H (7 days post-injury) | Rankin score (3 months post-injury) | Y | Pearson
pNF-H (admission) | Rankin score (3 months post-injury) | Y | ROC AUC
pNF-H (7 days post-injury) | Rankin score (3 months post-injury) | Y | ROC AUC","Correlation (i.e., Pearson, Spearman, Kendall); Binary classifier with ROC","",""
23367,Adams 2014,ABCG2 RS2231142 C.421C>A is associated with outcomes following severe traumatic brain injury,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Prospective data collection,"",Hospital admission,"","",>16,"",Severe,GCS,"EVD placement
Caucasian","Penetrating trauma
Previous neurological impairment",436,"",3.64,"Age | GOS | Y | Regression
Gender | GOS | N | Regression
ABCG2 (c421C>A) | GOS | Y | Regression
GCS | GOS | Y | Regression
Epidural hematoma | GOS | N | Regression
Subdural hematoma | GOS | N | Regression
Subarachnoid hemorrhage | GOS | N | Regression
Intraparenchymal hemorrhage | GOS | N | Regression
Intraventricular hemorrhage | GOS | N | Regression
Diffuse axonal injury | GOS | N | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","","Used combined cohort
Weighted M/F ratio was manually calculated"
23213,Abbasi 2014,Serum S100B protein as an outcome prediction tool in emergency department patients with traumatic brain injury,Steven Qiu,Yes,Analysis of prognostic factors,Other: Iran,Cohort study,Prospective data collection,"",Emergency department,2012,2012,>=18,Not defined,Mild; Moderate,GCS,Isolated TBI,"Hemodynamic instability
Fever
Concurrent primary and secondary brain injury
Other causes of decreased LOC",90,33.1,8,"S100B | Barthel scale | N | T-test
S100B | Headaches | N | T-test",T-test/Mann-Whitney U-test/Wilcoxon test,"","Paper mentions a ""table 3"" but no table could be found"
23026,Izzy 2015,Gradient echo MRI to predict long-term functional outcomes after traumatic brain injury,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
22966,Lee 2015,A role of serum-based neuronal and glial markers as potential predictors for distinguishing severity and related outcomes in traumatic brain injury,Steven Qiu,Yes,Analysis of prognostic factors,Other: Korea,Cohort study,Prospective data collection,"",Hospital admission,2013,2014,">=19, <=84",Not defined,Mild; Severe,GCS,"","",45,58.5,2.75,"S100B | Mortality | Y | U-test
GFAP | Mortality | Y | U-test
UCH-L1 | Mortality | Y | U-test",T-test/Mann-Whitney U-test/Wilcoxon test,"ROC was done on some binary classification model based on threshold but this was not clarified in the paper nor was AUC analyzed for significance. U-test was only done for mortality analysis, not GOS",""
22631,Kesmarky 2016,Performance of prediction for short-term mortality in patients after severe traumatic brain injury: Inclusion of initial Glasgow Coma Scales and abbreviated injury score of head region,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
